Training config | heldout=DTLZ7 | training_set=1 | envs=24 | workers=24 | reward_scheme=1 | policy=epsilon_greedy | surrogate=tabpfn | sampling_backend=tabpfn_gpu_sync | epochs=50 | sur_steps=30 | updates_per_epoch=80 | train_device=cuda | rollout_device=cpu | surrogate_device=cuda | lr=1.0e-04 | batch_size=64 | replay_size=50000 | gamma=1.0000 | target_update=20 | log_path=training_logs\tabpfn_trainer_dtlz7_set1_20260518_170835.txt
[Epoch 0001] start | set=1 | heldout=DTLZ7 | envs_active=24/24 | surrogate=tabpfn | sur_steps=30 | eps=0.300
[TabPFN sync] step=002 | gen=008/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.295 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.238 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=002 | gen=009/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.294 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.235 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.251
[TabPFN sync] step=002 | gen=010/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.295 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.238 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.255
[TabPFN sync] step=002 | gen=011/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.293 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.235 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.252
[TabPFN sync] step=002 | gen=012/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.301 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.242 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.261
[TabPFN sync] step=002 | gen=013/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.301 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.235 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.260
[TabPFN sync] step=002 | gen=014/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.045 | gen_cycle_sec=0.305 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.238 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.260
[TabPFN sync] step=002 | gen=015/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.294 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.235 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.255
[TabPFN sync] step=002 | gen=016/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.291 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.252
[TabPFN sync] step=002 | gen=017/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.296 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.256
[TabPFN sync] step=002 | gen=018/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.293 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=002 | gen=019/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.301 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.238 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.260
[TabPFN sync] step=002 | gen=020/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.305 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.239 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.266
[TabPFN sync] step=002 | gen=021/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.307 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.239 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.267
[TabPFN sync] step=002 | gen=022/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.297 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.235 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=002 | gen=023/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.291 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.252
[TabPFN sync] step=002 | gen=024/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.293 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.235 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.253
[TabPFN sync] step=002 | gen=025/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.292 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.235 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.253
[TabPFN sync] step=002 | gen=026/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=0.310 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.239 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.267
[TabPFN sync] step=002 | gen=027/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.295 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.235 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.256
[TabPFN sync] step=002 | gen=028/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.043 | gen_cycle_sec=0.306 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.236 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.261
[TabPFN sync] step=002 | gen=029/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.293 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.235 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.252
[TabPFN sync] step=002 | gen=030/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.296 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.236 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.255
[TabPFN sync] step=002 | sigma | mode=std | envs=24 | points=1409 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.256
[DISC sync] step=003 | envs=24 | agent_forward_sec=0.292
[TabPFN sync] step=003 | gen=001/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.017 | gen_cycle_sec=0.438 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.390 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.420
[TabPFN sync] step=003 | gen=002/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.295 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=003 | gen=003/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.295 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.237 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=003 | gen=004/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.238 | gen_cycle_sec=0.494 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.236 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.255
[TabPFN sync] step=003 | gen=005/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.239 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.264
[TabPFN sync] step=003 | gen=006/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=0.296 | query_transform_sec=0.000 | batch_prepare_sec=0.009 | gpu_forward_sec=0.236 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[TabPFN sync] step=003 | gen=007/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=0.295 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.252
[TabPFN sync] step=003 | gen=008/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.293 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.237 | postprocess_sec=0.008 | fallback_used=0 | fallback_reason=- | time_sec=0.253
[TabPFN sync] step=003 | gen=009/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.297 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.237 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[TabPFN sync] step=003 | gen=010/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.298 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.236 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.257
[TabPFN sync] step=003 | gen=011/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.306 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.238 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.267
[TabPFN sync] step=003 | gen=012/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.293 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.236 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=003 | gen=013/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.297 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.256
[TabPFN sync] step=003 | gen=014/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.299 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.014 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[TabPFN sync] step=003 | gen=015/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.294 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=003 | gen=016/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.294 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.008 | fallback_used=0 | fallback_reason=- | time_sec=0.252
[TabPFN sync] step=003 | gen=017/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.298 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.239 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[TabPFN sync] step=003 | gen=018/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.301 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.238 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.260
[TabPFN sync] step=003 | gen=019/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=0.303 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.237 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.260
[TabPFN sync] step=003 | gen=020/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.296 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.236 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.256
[TabPFN sync] step=003 | gen=021/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.295 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.254
[TabPFN sync] step=003 | gen=022/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.299 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.257
[TabPFN sync] step=003 | gen=023/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.305 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.239 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=003 | gen=024/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.308 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.239 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.266
[TabPFN sync] step=003 | gen=025/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.300 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.238 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.260
[TabPFN sync] step=003 | gen=026/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.297 | query_transform_sec=0.000 | batch_prepare_sec=0.005 | gpu_forward_sec=0.236 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.257
[TabPFN sync] step=003 | gen=027/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.302 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.236 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=003 | gen=028/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.294 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.253
[TabPFN sync] step=003 | gen=029/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.293 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.253
[TabPFN sync] step=003 | gen=030/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=0.301 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.236 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[TabPFN sync] step=003 | sigma | mode=std | envs=24 | points=1372 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.000 | gen_cycle_sec=0.000 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.236 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[DISC sync] step=004 | envs=24 | agent_forward_sec=0.281
[TabPFN sync] step=004 | gen=001/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.013 | gen_cycle_sec=0.511 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.476 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.497
[TabPFN sync] step=004 | gen=002/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.297 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.238 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.256
[TabPFN sync] step=004 | gen=003/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.302 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.240 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.261
[TabPFN sync] step=004 | gen=004/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.296 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.240 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.257
[TabPFN sync] step=004 | gen=005/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.307 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.237 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.265
[TabPFN sync] step=004 | gen=006/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.038 | gen_cycle_sec=0.301 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.237 | postprocess_sec=0.010 | fallback_used=0 | fallback_reason=- | time_sec=0.262
[TabPFN sync] step=004 | gen=007/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.240 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.262
[TabPFN sync] step=004 | gen=008/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.238 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.264
[TabPFN sync] step=004 | gen=009/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.240 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.264
[TabPFN sync] step=004 | gen=010/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.304 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.237 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=004 | gen=011/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.039 | gen_cycle_sec=0.298 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.237 | postprocess_sec=0.012 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[TabPFN sync] step=004 | gen=012/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.037 | gen_cycle_sec=0.301 | query_transform_sec=0.000 | batch_prepare_sec=0.008 | gpu_forward_sec=0.240 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=004 | gen=013/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.267 | gen_cycle_sec=0.525 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.237 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.258
[TabPFN sync] step=004 | gen=014/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.307 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.237 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.264
[TabPFN sync] step=004 | gen=015/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.305 | query_transform_sec=0.000 | batch_prepare_sec=0.011 | gpu_forward_sec=0.239 | postprocess_sec=0.011 | fallback_used=0 | fallback_reason=- | time_sec=0.263
[TabPFN sync] step=004 | gen=016/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.052 | gen_cycle_sec=0.315 | query_transform_sec=0.000 | batch_prepare_sec=0.007 | gpu_forward_sec=0.240 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.262
[TabPFN sync] step=004 | gen=017/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.306 | query_transform_sec=0.000 | batch_prepare_sec=0.012 | gpu_forward_sec=0.237 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.265
[TabPFN sync] step=004 | gen=018/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.040 | gen_cycle_sec=0.307 | query_transform_sec=0.000 | batch_prepare_sec=0.010 | gpu_forward_sec=0.240 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.265
[TabPFN sync] step=004 | gen=019/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.042 | gen_cycle_sec=0.311 | query_transform_sec=0.000 | batch_prepare_sec=0.013 | gpu_forward_sec=0.240 | postprocess_sec=0.013 | fallback_used=0 | fallback_reason=- | time_sec=0.268
[TabPFN sync] step=004 | gen=020/030 | mode=mean | envs=24 | points=1920 | dim=25 | objective_contexts=63 | candidate_wait_sec=0.041 | gen_cycle_sec=0.296 | query_transform_sec=0.000 | batch_prepare_sec=0.006 | gpu_forward_sec=0.237 | postprocess_sec=0.009 | fallback_used=0 | fallback_reason=- | time_sec=0.254
